iter	RMSE
0	18757.9185
1	18034.9293
2	17366.41708
3	16775.76469
4	16251.9109
5	15781.60682
6	15348.83715
7	14956.07696
8	14594.2662
9	14287.4546
10	14011.54289
11	13766.723
12	13544.49875
13	13350.56084
14	13182.08879
15	13022.32439
16	12873.73053
17	12750.4024
18	12624.99351
19	12512.27633
20	12397.69994
21	12278.07016
22	12171.96447
23	12087.77224
24	12022.30506
25	11948.42889
26	11874.32519
27	11812.22872
28	11753.71217
29	11690.03703
30	11677.88621
31	11654.50278
32	11628.9136
33	11576.55479
34	11567.05852
35	11527.9119
36	11502.39081
37	11444.87552
38	11432.85829
39	11389.84557
40	11348.66512
41	11326.65772
42	11319.64085
43	11306.69449
44	11274.73445
45	11230.36728
46	11195.65729
47	11189.4806
48	11149.06383
49	11119.4792
50	11114.10824
51	11108.64658
52	11102.80434
53	11058.84458
54	11042.40282
55	11023.93172
56	11019.54186
57	10986.48427
58	10939.43858
59	10933.34502
60	10915.56
61	10886.17251
62	10874.00176
63	10846.67294
64	10821.57343
65	10809.36704
66	10786.49572
67	10776.99326
68	10758.53727
69	10734.47077
70	10717.88011
71	10702.88366
72	10678.69738
73	10664.13744
74	10652.37228
75	10639.52488
76	10637.40826
77	10619.20468
78	10601.72756
79	10577.85466
80	10568.54453
81	10559.99109
82	10546.42851
83	10536.94311
84	10535.3923
85	10510.70056
86	10499.25942
87	10492.05584
88	10475.83505
89	10451.52232
90	10447.52728
91	10418.14636
92	10411.14499
93	10393.90678
94	10385.32148
95	10380.7994
96	10377.25906
97	10369.24782
98	10368.41168
99	10355.54188
100	10341.76771
101	10328.25156
102	10314.66275
103	10294.11213
104	10277.74707
105	10265.37385
106	10254.05728
107	10235.0564
108	10223.63728
109	10202.48166
110	10195.48072
111	10178.20336
112	10169.57474
113	10156.81009
114	10143.01574
115	10126.95537
116	10118.81204
117	10099.9975
118	10089.75214
119	10074.20399
120	10069.60165
121	10056.2489
122	10052.57348
123	10040.79921
124	10026.15204
125	10018.37514
126	10008.06277
127	9990.80571
128	9983.386857
129	9974.419475
130	9962.23853
131	9945.904714
132	9936.644003
133	9936.053893
134	9929.342001
